Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
500164,Godrej Industries Ltd.,GODREJIND,Godrej Industries Ltd,Active,A ,1.00,INE233A01035,Equity,,,,,
500165,Kansai Nerolac Paints,KANSAINER,Kansai Nerolac Paints Ltd,Active,A ,1.00,INE531A01024,Equity,,,,,
500166,Goodricke Group Ltd.,GOODRICKE,Goodricke Group Ltd,Active,X ,10.00,INE300A01016,Equity,,,,,
500168,Goodyear India Ltd.,GOODYEAR,Goodyear India Ltd,Active,B ,10.00,INE533A01012,Equity,,,,,
500170,GTN Industries Limited,GTNINDS,GTN Industries Ltd,Active,X ,10.00,INE537A01013,Equity,,,,,
500171,GHCL Ltd.,GHCL,GHCL Ltd,Active,A ,10.00,INE539A01019,Equity,,,,,
500173,GFL LIMITED,GFLLIMITED,GFL Ltd,Active,B ,1.00,INE538A01037,Equity,,,,,
500174,Gujarat Lease Financing Limited,GLFL,Gujarat Lease Financing Ltd,Active,B ,10.00,INE540A01017,Equity,,,,,
500178,Harig Crankshafts Ltd.,HARCR,Harig Crankshafts Ltd,Active,XT,10.00,INE905C01034,Equity,,,,,
500179,HCL Infosystems Ltd,HCL-INSYS,HCL Infosystems Ltd,Active,B ,2.00,INE236A01020,Equity,,,,,
500180,HDFC Bank Ltd.,HDFCBANK,HDFC Bank Ltd,Active,A ,1.00,INE040A01034,Equity,,,,,
500182,Hero MotoCorp Limited,HEROMOTOCO,Hero MotoCorp Ltd,Active,A ,2.00,INE158A01026,Equity,,,,,
500183,HFCL LIMITED,HFCL,HFCL Ltd,Active,T ,1.00,INE548A01028,Equity,,,,,
500184,Himadri Speciality Chemical Ltd.,HSCL,Himadri Speciality Chemical Ltd,Active,A ,1.00,INE019C01026,Equity,,,,,
500185,Hindustan Construction Co. Ltd.,HCC,Hindustan Construction Company Ltd,Active,A ,1.00,INE549A01026,Equity,,,,,
500186,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP,Hindustan Oil Exploration Company Ltd,Active,B ,10.00,INE345A01011,Equity,,,,,
500187,AGI GREENPAC LIMITED,AGI,Agi Greenpac Ltd,Active,B ,2.00,INE415A01038,Equity,,,,,
500188,Hindustan Zinc Ltd.,HINDZINC,Hindustan Zinc Ltd,Active,A ,2.00,INE267A01025,Equity,,,,,
500189,NDL Ventures Limited,NDLVENTURE,NDL Ventures Ltd,Active,B ,10.00,INE353A01023,Equity,,,,,
500191,HMT Limited,HMT,HMT Ltd,Active,Z ,10.00,INE262A01018,Equity,,,,,
500192,Prag Bosimi Synthetics Ltd.,PRAGBOS,Prag Bosimi Synthetics Ltd,Active,X ,10.00,INE962B01011,Equity,,,,,
500193,HLV LIMITED,HLVLTD,HLV Ltd,Active,B ,2.00,INE102A01024,Equity,,,,,
500199,IG Petrochemicals Ltd,IGPL,IG Petrochemicals Ltd,Active,B ,10.00,INE204A01010,Equity,,,,,
500201,India Glycols Ltd,INDIAGLYCO,India Glycols Ltd,Active,A ,5.00,INE560A01023,Equity,,,,,
500202,India Lease Devl. Ltd.,INDLEASE,India Lease Development Ltd,Active,X ,10.00,INE333C01013,Equity,,,,,
